INSERTED,DELETED,MODIFIED,FILENAME
5,0,0,b/compiler/src/dotty/tools/dotc/core/Contexts.scala
35,21,0,b/compiler/src/dotty/tools/dotc/core/TyperState.scala
6,6,0,b/compiler/src/dotty/tools/dotc/typer/Applications.scala
7,6,0,b/compiler/src/dotty/tools/dotc/typer/Implicits.scala
13,7,0,b/compiler/src/dotty/tools/dotc/typer/Namer.scala
5,4,0,b/compiler/src/dotty/tools/dotc/typer/ProtoTypes.scala
1,1,0,b/compiler/src/dotty/tools/dotc/typer/Typer.scala
1,0,0,b/compiler/test/dotty/tools/dotc/FromTastyTests.scala
1,1,0,b/tests/neg/i1802.scala
11,0,0,b/tests/neg/i3067.scala
11,0,0,b/tests/neg/i3067b.scala
6,0,0,b/tests/pos/i3067.scala
