INSERTED,DELETED,MODIFIED,FILENAME
9,5,0,b/src/main/org/codehaus/groovy/ast/GenericsType.java
3,0,0,b/src/main/org/codehaus/groovy/ast/tools/GenericsUtils.java
314,63,0,b/src/main/org/codehaus/groovy/transform/stc/StaticTypeCheckingSupport.java
50,262,0,b/src/main/org/codehaus/groovy/transform/stc/StaticTypeCheckingVisitor.java
2,2,0,b/src/test/groovy/transform/stc/ArraysAndCollectionsSTCTest.groovy
35,8,0,b/src/test/groovy/transform/stc/GenericsSTCTest.groovy
1,1,0,b/src/test/groovy/transform/stc/MethodCallsSTCTest.groovy
