INSERTED,DELETED,MODIFIED,FILENAME
2,2,0,b/compiler/testData/diagnostics/testsWithStdLib/inference/annotationsForResolve/kt29307.kt
73,0,0,b/compiler/testData/diagnostics/testsWithStdLib/inference/annotationsForResolve/onlyInputTypesAndTopLevelCapturedTypes.kt
40,0,0,b/compiler/testData/diagnostics/testsWithStdLib/inference/annotationsForResolve/onlyInputTypesAndTopLevelCapturedTypes.txt
5,0,0,b/compiler/tests/org/jetbrains/kotlin/checkers/DiagnosticsTestWithStdLibGenerated.java
5,0,0,b/compiler/tests/org/jetbrains/kotlin/checkers/javac/DiagnosticsTestWithStdLibUsingJavacGenerated.java
21,8,0,b/core/descriptors/src/org/jetbrains/kotlin/types/TypeUtils.kt
