INSERTED,DELETED,MODIFIED,FILENAME
5,0,0,b/compiler/fir/resolve/tests/org/jetbrains/kotlin/fir/FirDiagnosticsSmokeTestGenerated.java
3,2,0,b/compiler/frontend/src/org/jetbrains/kotlin/resolve/calls/DiagnosticReporterByTrackingStrategy.kt
36,0,0,b/compiler/testData/diagnostics/tests/resolve/callableReferenceInCST.kt
9,0,0,b/compiler/testData/diagnostics/tests/resolve/callableReferenceInCST.txt
5,0,0,b/compiler/tests/org/jetbrains/kotlin/checkers/DiagnosticsTestGenerated.java
5,0,0,b/compiler/tests/org/jetbrains/kotlin/checkers/javac/DiagnosticsUsingJavacTestGenerated.java
