INSERTED,DELETED,MODIFIED,FILENAME
10,0,0,b/compiler/backend/src/org/jetbrains/kotlin/codegen/AnnotationCodegen.java
11,2,0,b/compiler/frontend/src/org/jetbrains/kotlin/resolve/lazy/descriptors/LazyClassDescriptor.java
4,1,0,b/compiler/frontend/src/org/jetbrains/kotlin/types/expressions/BasicExpressionTypingVisitor.java
15,0,0,b/compiler/testData/codegen/boxWithStdlib/annotations/annotatedObjectLiteral.kt
11,0,0,b/compiler/testData/codegen/bytecodeListing/annotations/kt9320.kt
46,0,0,b/compiler/testData/codegen/bytecodeListing/annotations/kt9320.txt
0,1,0,b/compiler/testData/codegen/bytecodeListing/annotations/literals.kt
1,0,0,b/compiler/testData/codegen/bytecodeListing/annotations/literals.txt
6,0,0,b/compiler/tests/org/jetbrains/kotlin/codegen/BytecodeListingTestGenerated.java
6,0,0,b/compiler/tests/org/jetbrains/kotlin/codegen/generated/BlackBoxWithStdlibCodegenTestGenerated.java
