INSERTED,DELETED,MODIFIED,FILENAME
0,9,0,a/compiler/testData/diagnostics/tests/smartCasts/variables/varChangedInLoop.fir.kt
2,2,0,b/compiler/frontend/cfg/src/org/jetbrains/kotlin/cfg/ControlFlowProcessor.kt
3,4,0,b/compiler/testData/cfg/arrays/arrayIncUnresolved.instructions
3,3,0,b/compiler/testData/cfg/arrays/arrayIncUnresolved.values
73,0,0,b/compiler/testData/cfg/bugs/kt44153.instructions
9,0,0,b/compiler/testData/cfg/bugs/kt44153.kt
57,0,0,b/compiler/testData/cfg/bugs/kt44153.values
4,2,0,b/compiler/testData/diagnostics/tests/smartCasts/variables/varChangedInLoop.kt
5,0,0,b/compiler/tests-gen/org/jetbrains/kotlin/cfg/ControlFlowTestGenerated.java
5,0,0,b/compiler/tests-gen/org/jetbrains/kotlin/cfg/PseudoValueTestGenerated.java
