INSERTED,DELETED,MODIFIED,FILENAME
58,16,0,b/src/main/org/codehaus/groovy/transform/ImmutableASTTransformation.java
5,1,0,b/src/main/org/codehaus/groovy/transform/sc/transformers/ConstructorCallTransformer.java
23,9,0,b/src/main/org/codehaus/groovy/transform/stc/StaticTypeCheckingVisitor.java
29,0,0,b/src/test/groovy/transform/stc/BugsSTCTest.groovy
46,0,0,b/src/test/org/codehaus/groovy/classgen/asm/sc/CompatWithASTXFormStaticCompileTest.groovy
5,5,0,b/src/test/org/codehaus/groovy/transform/ImmutableTransformTest.groovy
1,1,0,b/subprojects/groovy-console/src/test/groovy/groovy/inspect/swingui/AstNodeToScriptAdapterTest.groovy
