INSERTED,DELETED,MODIFIED,FILENAME
5,0,0,b/compiler/fir/fir2ir/tests/org/jetbrains/kotlin/codegen/ir/FirBlackBoxCodegenTestGenerated.java
27,0,0,b/compiler/testData/codegen/box/inference/subtypingOfIntersectionIltInsideFlexible.kt
5,0,0,b/compiler/tests/org/jetbrains/kotlin/codegen/BlackBoxCodegenTestGenerated.java
5,0,0,b/compiler/tests/org/jetbrains/kotlin/codegen/LightAnalysisModeTestGenerated.java
5,0,0,b/compiler/tests/org/jetbrains/kotlin/codegen/ir/IrBlackBoxCodegenTestGenerated.java
41,8,0,b/core/descriptors/src/org/jetbrains/kotlin/types/checker/NewCapturedType.kt
5,0,0,b/js/js.tests/test/org/jetbrains/kotlin/js/test/es6/semantics/IrJsCodegenBoxES6TestGenerated.java
5,0,0,b/js/js.tests/test/org/jetbrains/kotlin/js/test/ir/semantics/IrJsCodegenBoxTestGenerated.java
5,0,0,b/js/js.tests/test/org/jetbrains/kotlin/js/test/semantics/JsCodegenBoxTestGenerated.java
