INSERTED,DELETED,MODIFIED,FILENAME
1,1,0,b/src/compiler/scala/tools/nsc/backend/icode/GenICode.scala
1,1,0,b/src/compiler/scala/tools/nsc/backend/jvm/BCodeBodyBuilder.scala
9,48,0,b/src/compiler/scala/tools/nsc/typechecker/Contexts.scala
6,9,0,b/src/compiler/scala/tools/nsc/typechecker/Implicits.scala
5,1,0,b/src/compiler/scala/tools/nsc/typechecker/Typers.scala
1,10,0,b/src/reflect/scala/reflect/internal/Mirrors.scala
1,1,0,b/src/reflect/scala/reflect/internal/SymbolTable.scala
9,7,0,b/src/reflect/scala/reflect/internal/Symbols.scala
2,2,0,b/src/reflect/scala/reflect/internal/TreeGen.scala
8,1,0,b/src/reflect/scala/reflect/internal/Types.scala
1,1,0,b/src/scaladoc/scala/tools/nsc/doc/model/diagram/DiagramDirectiveParser.scala
37,0,0,b/test/files/pos/alladin763.scala
47,0,0,b/test/files/pos/t8862a.scala
12,0,0,b/test/files/pos/t8862b.scala
