INSERTED,DELETED,MODIFIED,FILENAME
17,5,0,b/compiler/frontend/src/org/jetbrains/kotlin/types/expressions/BasicExpressionTypingVisitor.java
1,1,0,b/compiler/frontend/src/org/jetbrains/kotlin/types/expressions/ExpressionTypingVisitorForStatements.java
11,0,0,b/compiler/testData/codegen/box/operatorConventions/overloadedSet.kt
45,0,0,b/compiler/testData/diagnostics/tests/operatorsOverloading/InconsistentGetSet.kt
42,0,0,b/compiler/testData/diagnostics/tests/operatorsOverloading/InconsistentGetSet.txt
6,0,0,b/compiler/tests/org/jetbrains/kotlin/checkers/DiagnosticsTestGenerated.java
6,0,0,b/compiler/tests/org/jetbrains/kotlin/codegen/BlackBoxCodegenTestGenerated.java
