INSERTED,DELETED,MODIFIED,FILENAME
4,14,0,b/compiler/frontend/src/org/jetbrains/kotlin/resolve/callableReferences/CallableReferencesResolutionUtils.kt
2,3,0,b/compiler/frontend/src/org/jetbrains/kotlin/resolve/calls/ArgumentTypeResolver.java
8,6,0,b/compiler/frontend/src/org/jetbrains/kotlin/resolve/calls/CandidateResolver.kt
2,5,0,b/compiler/frontend/src/org/jetbrains/kotlin/types/expressions/DoubleColonExpressionResolver.kt
9,0,0,b/compiler/testData/codegen/box/callableReference/bound/kt12738.kt
11,0,0,b/compiler/testData/diagnostics/tests/callableReference/resolve/kt10036_bound.kt
13,0,0,b/compiler/testData/diagnostics/tests/callableReference/resolve/kt10036_bound.txt
15,0,0,b/compiler/testData/diagnostics/tests/callableReference/resolve/kt12751.kt
19,0,0,b/compiler/testData/diagnostics/tests/callableReference/resolve/kt12751.txt
13,0,0,b/compiler/testData/diagnostics/tests/callableReference/resolve/overloadsBound.kt
13,0,0,b/compiler/testData/diagnostics/tests/callableReference/resolve/overloadsBound.txt
18,0,0,b/compiler/tests/org/jetbrains/kotlin/checkers/DiagnosticsTestGenerated.java
6,0,0,b/compiler/tests/org/jetbrains/kotlin/codegen/BlackBoxCodegenTestGenerated.java
11,3,0,b/idea/idea-completion/src/org/jetbrains/kotlin/idea/completion/smart/Utils.kt
