INSERTED,DELETED,MODIFIED,FILENAME
3,0,0,b/compiler/testData/compileKotlinAgainstCustomBinaries/computeSupertypeWithMissingDependency/library/a.kt
8,0,0,b/compiler/testData/compileKotlinAgainstCustomBinaries/computeSupertypeWithMissingDependency/library/b.kt
10,0,0,b/compiler/testData/compileKotlinAgainstCustomBinaries/computeSupertypeWithMissingDependency/output.txt
11,0,0,b/compiler/testData/compileKotlinAgainstCustomBinaries/computeSupertypeWithMissingDependency/source.kt
6,13,0,b/compiler/tests/org/jetbrains/kotlin/jvm/compiler/CompileKotlinAgainstCustomBinariesTest.kt
1,1,0,b/core/descriptors/src/org/jetbrains/kotlin/descriptors/NotFoundClasses.kt
