INSERTED,DELETED,MODIFIED,FILENAME
0,7,0,b/compiler/frontend/src/org/jetbrains/kotlin/resolve/calls/tasks/TracingStrategyForInvoke.java
10,0,0,b/compiler/testData/diagnostics/tests/functionLiterals/kt6541_extensionForExtensionFunction.kt
18,0,0,b/compiler/testData/diagnostics/tests/functionLiterals/kt6541_extensionForExtensionFunction.txt
6,0,0,b/compiler/testData/diagnostics/tests/functionLiterals/kt7383_starProjectedFunction.kt
3,0,0,b/compiler/testData/diagnostics/tests/functionLiterals/kt7383_starProjectedFunction.txt
7,0,0,b/compiler/testData/diagnostics/tests/resolve/invoke/invokeNonExtensionLambdaInContext.kt
11,0,0,b/compiler/testData/diagnostics/tests/resolve/invoke/invokeNonExtensionLambdaInContext.txt
18,0,0,b/compiler/tests/org/jetbrains/kotlin/checkers/JetDiagnosticsTestGenerated.java
