INSERTED,DELETED,MODIFIED,FILENAME
6,0,0,b/src/main/org/codehaus/groovy/ast/GenericsType.java
8,1,0,b/src/main/org/codehaus/groovy/transform/stc/DefaultTypeCheckingExtension.java
104,44,0,b/src/main/org/codehaus/groovy/transform/stc/StaticTypeCheckingSupport.java
26,2,0,b/src/main/org/codehaus/groovy/transform/stc/StaticTypeCheckingVisitor.java
0,2,0,b/src/test/groovy/bugs/Groovy6786Bug.groovy
26,11,0,b/src/test/groovy/transform/stc/GenericsSTCTest.groovy
1,1,0,b/src/test/groovy/transform/stc/MethodCallsSTCTest.groovy
1,1,0,b/src/test/org/codehaus/groovy/transform/BuilderTransformTest.groovy
