INSERTED,DELETED,MODIFIED,FILENAME
2,1,0,b/src/compiler/scala/reflect/macros/contexts/Parsers.scala
1,1,0,b/src/compiler/scala/tools/nsc/transform/patmat/Logic.scala
12,6,0,b/src/compiler/scala/tools/nsc/transform/patmat/MatchAnalysis.scala
1,1,0,b/src/compiler/scala/tools/nsc/typechecker/Typers.scala
7,0,0,b/test/files/neg/t9398.check
1,0,0,b/test/files/neg/t9398.flags
5,0,0,b/test/files/neg/t9398/data.scala
6,0,0,b/test/files/neg/t9398/match.scala
1,0,0,b/test/files/pos/t5899.scala
1,0,0,b/test/files/pos/t9399.flags
17,0,0,b/test/files/pos/t9399.scala
1,0,0,b/test/files/pos/t9411a.flags
27,0,0,b/test/files/pos/t9411a.scala
1,0,0,b/test/files/pos/t9411b.flags
36,0,0,b/test/files/pos/t9411b.scala
1,0,0,b/test/files/pos/t9630.flags
9,0,0,b/test/files/pos/t9630/t9630a.scala
8,0,0,b/test/files/pos/t9630/t9630b.scala
1,1,0,b/test/files/run/Course-2002-07.scala
1,1,0,b/test/files/run/caseclasses.scala
1,0,0,b/test/files/run/infix.scala
2,2,0,b/test/files/run/patmatnew.scala
1,1,0,b/test/files/run/t3126.scala
4,4,0,b/test/files/run/t4124.scala
1,1,0,b/test/files/run/t6089.scala
1,1,0,b/test/files/run/t7459f.scala
1,1,0,b/test/junit/scala/tools/nsc/transform/patmat/PatmatBytecodeTest.scala
