INSERTED,DELETED,MODIFIED,FILENAME
9,9,0,b/src/jdk.compiler/share/classes/com/sun/tools/javac/code/Types.java
32,47,0,b/src/jdk.compiler/share/classes/com/sun/tools/javac/comp/Attr.java
15,13,0,b/src/jdk.compiler/share/classes/com/sun/tools/javac/comp/LambdaToMethod.java
13,4,0,b/src/jdk.compiler/share/classes/com/sun/tools/javac/comp/TransTypes.java
3,3,0,b/src/jdk.compiler/share/classes/com/sun/tools/javac/tree/JCTree.java
49,0,0,b/test/langtools/tools/javac/T8148354/IntersectionFunctionalButComponentsNotTest.java
53,0,0,b/test/langtools/tools/javac/T8148354/IntersectionTypeBugTest.java
2,0,0,b/test/langtools/tools/javac/diags/examples.not-yet.txt
2,2,0,b/test/langtools/tools/javac/diags/examples/NotAnInterfaceComponent.java
