INSERTED,DELETED,MODIFIED,FILENAME
47,3,0,b/src/jdk.compiler/share/classes/com/sun/tools/javac/comp/Resolve.java
31,0,0,b/src/jdk.compiler/share/classes/com/sun/tools/javac/resources/compiler.properties
4,0,0,b/test/langtools/lib/combo/tools/javac/combo/CompilationTestCase.java
4,0,0,b/test/langtools/lib/combo/tools/javac/combo/Diagnostics.java
7,0,0,b/test/langtools/lib/combo/tools/javac/combo/JavacTemplateTestBase.java
41,0,0,b/test/langtools/tools/javac/diags/examples/BoundUnboundMethRefSearch.java
47,0,0,b/test/langtools/tools/javac/diags/examples/BoundUnboundMethRefSearch2.java
136,0,0,b/test/langtools/tools/javac/lambda/methodReference/BoundUnboundSearchTest.java
