INSERTED,DELETED,MODIFIED,FILENAME
15,0,0,b/compiler/fir/resolve/tests/org/jetbrains/kotlin/fir/FirOldFrontendDiagnosticsTestGenerated.java
11,0,0,b/compiler/resolution/src/org/jetbrains/kotlin/types/TypeApproximator.kt
22,0,0,b/compiler/testData/diagnostics/tests/inference/starApproximation.fir.kt
22,0,0,b/compiler/testData/diagnostics/tests/inference/starApproximation.kt
24,0,0,b/compiler/testData/diagnostics/tests/inference/starApproximationBangBang.fir.kt
24,0,0,b/compiler/testData/diagnostics/tests/inference/starApproximationBangBang.kt
29,0,0,b/compiler/testData/diagnostics/tests/inference/starApproximationFlexible.fir.kt
29,0,0,b/compiler/testData/diagnostics/tests/inference/starApproximationFlexible.kt
111,111,0,b/compiler/tests-spec/testData/diagnostics/notLinked/dfa/pos/12.kt
111,111,0,b/compiler/tests-spec/testData/diagnostics/notLinked/dfa/pos/13.kt
3,3,0,b/compiler/tests-spec/testData/diagnostics/notLinked/dfa/pos/38.kt
3,3,0,b/compiler/tests-spec/testData/diagnostics/notLinked/dfa/pos/55.kt
15,0,0,b/compiler/tests/org/jetbrains/kotlin/checkers/DiagnosticsTestGenerated.java
15,0,0,b/compiler/tests/org/jetbrains/kotlin/checkers/javac/DiagnosticsUsingJavacTestGenerated.java
