INSERTED,DELETED,MODIFIED,FILENAME
1,1,0,b/compiler/frontend/src/org/jetbrains/kotlin/resolve/calls/ArgumentTypeResolver.java
16,6,0,b/compiler/frontend/src/org/jetbrains/kotlin/resolve/calls/CallCompleter.kt
1,1,0,b/compiler/frontend/src/org/jetbrains/kotlin/resolve/calls/CallExpressionResolver.kt
1,1,0,b/compiler/frontend/src/org/jetbrains/kotlin/resolve/calls/CandidateResolver.kt
29,2,0,b/compiler/frontend/src/org/jetbrains/kotlin/resolve/calls/GenericCandidateResolver.kt
12,6,0,b/compiler/frontend/src/org/jetbrains/kotlin/types/expressions/ControlStructureTypingUtils.java
8,3,0,b/compiler/frontend/src/org/jetbrains/kotlin/types/expressions/DoubleColonExpressionResolver.kt
29,0,0,b/compiler/testData/codegen/box/callableReference/function/genericCallableReferenceArguments.kt
30,0,0,b/compiler/testData/codegen/box/callableReference/function/genericCallableReferencesWithNullableTypes.kt
23,0,0,b/compiler/testData/codegen/box/callableReference/function/genericCallableReferencesWithOverload.kt
8,0,0,b/compiler/testData/codegen/box/callableReference/function/genericWithDependentType.kt
29,0,0,b/compiler/testData/codegen/box/callableReference/function/specialCalls.kt
8,0,0,b/compiler/testData/codegen/light-analysis/callableReference/function/genericCallableReferenceArguments.txt
22,0,0,b/compiler/testData/codegen/light-analysis/callableReference/function/genericCallableReferencesWithNullableTypes.txt
8,0,0,b/compiler/testData/codegen/light-analysis/callableReference/function/genericCallableReferencesWithOverload.txt
11,0,0,b/compiler/testData/codegen/light-analysis/callableReference/function/genericWithDependentType.txt
7,0,0,b/compiler/testData/codegen/light-analysis/callableReference/function/specialCalls.txt
36,0,0,b/compiler/testData/diagnostics/tests/callableReference/generic/argumentAndReturnExpectedType.kt
20,0,0,b/compiler/testData/diagnostics/tests/callableReference/generic/argumentAndReturnExpectedType.txt
12,0,0,b/compiler/testData/diagnostics/tests/callableReference/generic/argumentExpectedType.kt
13,0,0,b/compiler/testData/diagnostics/tests/callableReference/generic/argumentExpectedType.txt
29,0,0,b/compiler/testData/diagnostics/tests/callableReference/generic/dependOnArgumentType.kt
18,0,0,b/compiler/testData/diagnostics/tests/callableReference/generic/dependOnArgumentType.txt
24,0,0,b/compiler/testData/diagnostics/tests/callableReference/generic/expectedFunctionType.kt
33,0,0,b/compiler/testData/diagnostics/tests/callableReference/generic/expectedFunctionType.txt
24,0,0,b/compiler/testData/diagnostics/tests/callableReference/generic/explicitTypeArguments.kt
17,0,0,b/compiler/testData/diagnostics/tests/callableReference/generic/explicitTypeArguments.txt
30,0,0,b/compiler/testData/diagnostics/tests/callableReference/generic/genericExtensionFunction.kt
27,0,0,b/compiler/testData/diagnostics/tests/callableReference/generic/genericExtensionFunction.txt
36,0,0,b/compiler/testData/diagnostics/tests/callableReference/generic/genericFunctionsWithNullableTypes.kt
18,0,0,b/compiler/testData/diagnostics/tests/callableReference/generic/genericFunctionsWithNullableTypes.txt
8,0,0,b/compiler/testData/diagnostics/tests/callableReference/generic/kt7470.kt
4,0,0,b/compiler/testData/diagnostics/tests/callableReference/generic/kt7470.txt
21,0,0,b/compiler/testData/diagnostics/tests/callableReference/generic/nestedCallWithOverload.kt
7,0,0,b/compiler/testData/diagnostics/tests/callableReference/generic/nestedCallWithOverload.txt
22,0,0,b/compiler/testData/diagnostics/tests/callableReference/generic/resolutionGenericCallableWithNullableTypes.kt
7,0,0,b/compiler/testData/diagnostics/tests/callableReference/generic/resolutionGenericCallableWithNullableTypes.txt
21,0,0,b/compiler/testData/diagnostics/tests/callableReference/generic/resolutionWithGenericCallable.kt
7,0,0,b/compiler/testData/diagnostics/tests/callableReference/generic/resolutionWithGenericCallable.txt
23,0,0,b/compiler/testData/diagnostics/tests/callableReference/generic/specialCalls.kt
6,0,0,b/compiler/testData/diagnostics/tests/callableReference/generic/specialCalls.txt
11,0,0,b/compiler/testData/diagnostics/tests/callableReference/kt15439_completeCall.kt
3,0,0,b/compiler/testData/diagnostics/tests/callableReference/kt15439_completeCall.txt
1,1,0,b/compiler/testData/diagnostics/tests/callableReference/resolve/withGenericFun.kt
1,1,0,b/compiler/testData/diagnostics/tests/regressions/ea72837.kt
30,0,0,b/compiler/tests-ir-jvm/tests/org/jetbrains/kotlin/codegen/ir/IrBlackBoxCodegenTestGenerated.java
78,0,0,b/compiler/tests/org/jetbrains/kotlin/checkers/DiagnosticsTestGenerated.java
30,0,0,b/compiler/tests/org/jetbrains/kotlin/codegen/BlackBoxCodegenTestGenerated.java
30,0,0,b/compiler/tests/org/jetbrains/kotlin/codegen/LightAnalysisModeCodegenTestGenerated.java
48,0,0,b/js/js.tests/test/org/jetbrains/kotlin/js/test/semantics/JsCodegenBoxTestGenerated.java
