INSERTED,DELETED,MODIFIED,FILENAME
3,1,0,b/spec/06-expressions.md
67,40,0,b/src/compiler/scala/tools/nsc/typechecker/Infer.scala
2,0,0,b/src/compiler/scala/tools/nsc/typechecker/Typers.scala
40,37,0,b/src/compiler/scala/tools/nsc/typechecker/Unapplies.scala
5,0,0,b/src/reflect/scala/reflect/internal/Definitions.scala
7,0,0,b/test/files/neg/t8344.check
8,0,0,b/test/files/neg/t8344.scala
54,0,0,b/test/files/pos/overload_poly_repeated.scala
1,1,0,b/test/files/pos/t3866.scala
25,0,0,b/test/files/pos/t4775/JavaClass.java
4,0,0,b/test/files/pos/t4775/Test.scala
1,1,0,b/test/files/run/idempotency-case-classes.check
1,1,0,b/test/files/run/macroPlugins-namerHooks.check
