INSERTED,DELETED,MODIFIED,FILENAME
5,0,0,b/compiler/fir/resolve/tests/org/jetbrains/kotlin/fir/FirDiagnosticsSmokeTestGenerated.java
1,3,0,b/compiler/frontend/src/org/jetbrains/kotlin/resolve/calls/tower/NewCallArguments.kt
13,13,0,b/compiler/resolution/src/org/jetbrains/kotlin/resolve/calls/inference/model/NewConstraintSystemImpl.kt
1,1,0,b/compiler/testData/diagnostics/tests/generics/kt9203.kt
18,0,0,b/compiler/testData/diagnostics/tests/inference/capturedTypes/kt25302.kt
26,0,0,b/compiler/testData/diagnostics/tests/inference/capturedTypes/kt25302.txt
4,5,0,b/compiler/testData/diagnostics/tests/inference/capturedTypes/topLevelCapturingInsideReturnType.kt
4,4,0,b/compiler/testData/diagnostics/tests/inference/capturedTypes/topLevelCapturingInsideReturnType.txt
2,2,0,b/compiler/testData/diagnostics/tests/inference/dependantOnVariance.kt
2,2,0,b/compiler/testData/diagnostics/tests/j+k/collectorInference.kt
1,1,0,b/compiler/testData/diagnostics/tests/targetedBuiltIns/stream.kt
5,0,0,b/compiler/tests/org/jetbrains/kotlin/checkers/DiagnosticsTestGenerated.java
5,0,0,b/compiler/tests/org/jetbrains/kotlin/checkers/javac/DiagnosticsUsingJavacTestGenerated.java
5,0,0,b/core/descriptors/src/org/jetbrains/kotlin/types/checker/ClassicTypeSystemContext.kt
1,0,0,b/core/type-system/src/org/jetbrains/kotlin/types/model/TypeSystemContext.kt
