INSERTED,DELETED,MODIFIED,FILENAME
18,0,0,b/compiler/testData/diagnostics/tests/j+k/kt6720_abstractProperty.kt
26,0,0,b/compiler/testData/diagnostics/tests/j+k/kt6720_abstractProperty.txt
6,0,0,b/compiler/tests/org/jetbrains/kotlin/checkers/JetDiagnosticsTestGenerated.java
9,0,0,b/core/descriptor.loader.java/src/org/jetbrains/kotlin/load/java/lazy/descriptors/LazyJavaClassMemberScope.kt
3,4,0,b/core/descriptor.loader.java/src/org/jetbrains/kotlin/load/java/lazy/descriptors/LazyJavaMemberScope.kt
4,1,0,b/core/descriptor.loader.java/src/org/jetbrains/kotlin/load/java/lazy/descriptors/LazyJavaStaticClassScope.kt
1,1,0,b/core/descriptor.loader.java/src/org/jetbrains/kotlin/load/java/lazy/descriptors/LazyPackageFragmentScopeForJavaPackage.kt
