INSERTED,DELETED,MODIFIED,FILENAME
5,0,0,b/compiler/fir/resolve/tests/org/jetbrains/kotlin/fir/FirDiagnosticsSmokeTestGenerated.java
8,1,0,b/compiler/frontend/src/org/jetbrains/kotlin/resolve/calls/smartcasts/SmartCastManager.kt
9,4,0,b/compiler/resolution/src/org/jetbrains/kotlin/resolve/calls/components/AdditionalDiagnosticReporter.kt
2,2,0,b/compiler/testData/diagnostics/tests/generics/nullability/smartCasts.kt
1,1,0,b/compiler/testData/diagnostics/tests/generics/nullability/smartCastsValueArgument.kt
2,2,0,b/compiler/testData/diagnostics/tests/smartCasts/intersectionScope/unstableSmartCast.kt
19,0,0,b/compiler/testData/diagnostics/tests/smartCasts/kt30826.kt
24,0,0,b/compiler/testData/diagnostics/tests/smartCasts/kt30826.txt
12,12,0,b/compiler/tests-spec/testData/diagnostics/linked/type-inference/smart-casts/smart-casts-sources/p-4/pos/1.12.kt
10,10,0,b/compiler/tests-spec/testData/diagnostics/linked/type-inference/smart-casts/smart-casts-sources/p-4/pos/1.13.kt
2,2,0,b/compiler/tests-spec/testData/diagnostics/linked/type-inference/smart-casts/smart-casts-sources/p-4/pos/1.5.kt
2,2,0,b/compiler/tests-spec/testData/diagnostics/linked/type-inference/smart-casts/smart-casts-sources/p-4/pos/1.6.kt
5,0,0,b/compiler/tests/org/jetbrains/kotlin/checkers/DiagnosticsTestGenerated.java
5,0,0,b/compiler/tests/org/jetbrains/kotlin/checkers/javac/DiagnosticsUsingJavacTestGenerated.java
9,0,0,b/core/descriptors/src/org/jetbrains/kotlin/types/TypeUtils.kt
