INSERTED,DELETED,MODIFIED,FILENAME
8,1,0,b/compiler/frontend/src/org/jetbrains/kotlin/resolve/calls/ArgumentTypeResolver.java
1,1,0,b/compiler/frontend/src/org/jetbrains/kotlin/types/expressions/DoubleColonExpressionResolver.kt
16,0,0,b/compiler/testData/diagnostics/tests/j+k/callableReferencesStaticMemberClash.kt
16,0,0,b/compiler/testData/diagnostics/tests/j+k/callableReferencesStaticMemberClash.txt
6,0,0,b/compiler/testData/diagnostics/testsWithJava8/patternCompileCallableReference.kt
6,0,0,b/compiler/tests-java8/tests/org/jetbrains/kotlin/checkers/DiagnosticsWithJava8TestGenerated.java
6,0,0,b/compiler/tests/org/jetbrains/kotlin/checkers/DiagnosticsTestGenerated.java
