INSERTED,DELETED,MODIFIED,FILENAME
7,0,0,b/compiler/testData/loadJava/compiledKotlin/typealias/TypeAliasToExtension.kt
8,0,0,b/compiler/testData/loadJava/compiledKotlin/typealias/TypeAliasToExtension.txt
6,0,0,b/compiler/tests/org/jetbrains/kotlin/jvm/compiler/LoadJavaTestGenerated.java
6,0,0,b/compiler/tests/org/jetbrains/kotlin/jvm/compiler/LoadKotlinWithTypeTableTestGenerated.java
6,0,0,b/compiler/tests/org/jetbrains/kotlin/jvm/compiler/javac/LoadJavaUsingJavacTestGenerated.java
6,0,0,b/core/descriptors.runtime/tests/org/jetbrains/kotlin/jvm/runtime/JvmRuntimeDescriptorLoaderTestGenerated.java
4,1,0,b/core/deserialization/src/org/jetbrains/kotlin/serialization/deserialization/descriptors/DeserializedMemberScope.kt
