INSERTED,DELETED,MODIFIED,FILENAME
10,0,0,b/compiler/fir/resolve/tests/org/jetbrains/kotlin/fir/FirDiagnosticsSmokeTestGenerated.java
4,1,0,b/compiler/resolution/src/org/jetbrains/kotlin/resolve/calls/inference/components/ConstraintIncorporator.kt
3,1,0,b/compiler/resolution/src/org/jetbrains/kotlin/resolve/calls/inference/components/TrivialConstraintTypeInferenceOracle.kt
32,0,0,b/compiler/testData/diagnostics/tests/inference/nothingType/kt32051.kt
28,0,0,b/compiler/testData/diagnostics/tests/inference/nothingType/kt32051.txt
10,0,0,b/compiler/testData/diagnostics/tests/inference/nothingType/kt32081.kt
12,0,0,b/compiler/testData/diagnostics/tests/inference/nothingType/kt32081.txt
10,0,0,b/compiler/tests/org/jetbrains/kotlin/checkers/DiagnosticsTestGenerated.java
10,0,0,b/compiler/tests/org/jetbrains/kotlin/checkers/javac/DiagnosticsUsingJavacTestGenerated.java
