INSERTED,DELETED,MODIFIED,FILENAME
2,1,0,b/src/main/org/codehaus/groovy/transform/stc/StaticTypeCheckingSupport.java
36,0,0,b/src/test/groovy/transform/stc/BugsSTCTest.groovy
